Unnamed: 0,country,rel,nonrel,a_div_rel,a_div_nonrel,Rel-Nonrel,Nonrel-Rel
0,AT,642,1216,0.11941848390446526,0.2809758771929825,0.11383207750269109,0.8861679224973089
1,BE,621,1116,-0.15968867418142774,-0.1359020310633215,0.14378238341968919,0.8562176165803108
2,CH,767,666,0.37700999565406296,0.6556556556556558,0.5881018841591067,0.4118981158408933
3,CZ,577,1483,0.053437319468515,0.07248819959541475,-0.04975728155339809,1.049757281553398
4,DE,1264,1488,0.0052742616033752505,0.17025089605734775,0.3982558139534884,0.6017441860465116
5,EE,802,1118,0.180798004987531,0.12373285629099576,0.29427083333333337,0.7057291666666666
6,ES,567,1143,0.03674309229864775,0.140711577719452,0.07894736842105265,0.9210526315789473
7,FI,739,1099,-0.24695534506089326,-0.01440703670003025,0.2551686615886834,0.7448313384113165
8,FR,1063,899,0.05252430228911875,0.2808676307007785,0.6044852191641182,0.39551478083588176
9,GB,541,1287,0.02002464571780625,0.126262626262626,-0.01012035010940926,1.0101203501094091
10,HU,387,927,-0.458656330749354,-0.5294857964760887,-0.013698630136986356,1.0136986301369864
11,IE,617,1855,-0.12020529443544001,-0.000449236298293,-0.12601132686084138,1.1260113268608414
12,IL,743,1380,-0.42059219380888196,-0.3369565217391302,0.12494112105511063,0.8750588789448894
13,IS,501,281,0.108117099135063,0.258007117437722,0.8516624040920715,0.14833759590792844
14,IT,288,1930,-0.11574074074074049,-0.0794473229706395,-0.42538322813345375,1.4253832281334538
15,LT,413,1296,-0.8575464083938671,-0.7638888888888823,-0.1458455236980689,1.145845523698069
16,NL,548,1035,-0.1003649635036495,0.09903381642512075,0.11544535691724572,0.8845546430827542
17,NO,472,1011,0.434322033898305,0.5547312891526555,0.04568442346594742,0.9543155765340525
18,PL,167,1268,0.054890219560878,-0.113038906414301,-0.4590592334494774,1.4590592334494774
19,PT,508,672,-0.164041994750656,-0.0942460317460315,0.32627118644067793,0.673728813559322
20,RU,468,1440,-0.5448717948717935,-0.4733796296296292,-0.13679245283018882,1.1367924528301887
21,SE,656,779,0.5843495934959335,0.8076593923833977,0.3928571428571429,0.6071428571428571
22,SI,356,843,-0.44475655430711647,-0.27184657967576076,-0.007714762301918254,1.0077147623019183
