,p,Rel-Nonrel,Nonrel-Rel,Rel_div_p,Nonrel_div_p,Egal-Util,Util-Egal,decision
0,1.0,0.3464107680090946,0.6535892319909055,0.001516643247464,0.0289952798378001,0.0,1.0,0.019476384232698964
1,1.1,0.3460426286717086,0.6539573713282915,-0.0063146942426167,0.0281381499508642,0.01111111111111112,0.9888888888888889,0.01621599718093526
2,1.2,0.3457978454693354,0.6542021545306647,-0.0145728747030647,0.0221753069132127,0.022222222222222216,0.9777777777777777,0.009467864885388137
3,1.3,0.3456947482458718,0.654305251754128,-0.018455971253308,0.0189350472567392,0.03333333333333334,0.9666666666666667,0.0060091685262516955
4,1.4,0.3457763109448384,0.6542236890551614,-0.0207169471054887,0.0171418360011573,0.04444444444444443,0.9555555555555556,0.004051165641680474
5,1.5,0.3461167379185594,0.6538832620814408,-0.0222795370163723,0.0160030652068097,0.05555555555555555,0.9444444444444444,0.002752815806288159
6,1.6,0.3467740987468356,0.6532259012531643,-0.0236523443096795,0.0151337710538998,0.06666666666666668,0.9333333333333333,0.0016837508548037915
7,1.7,0.3477297388206239,0.6522702611793761,-0.0249312541125506,0.014435461826831,0.07777777777777778,0.9222222222222223,0.0007464839750041443
8,1.8,0.3492706356443754,0.6507293643556247,-0.0262281249370806,0.0138327599658173,0.08888888888888889,0.9111111111111111,-0.00015933076869400868
9,1.9,0.3502788956534032,0.649721104346597,-0.0269990092531661,0.0135053303640774,0.09999999999999999,0.9,-0.0006824849862210377
10,2.0,0.3514664884747237,0.6485335115252762,-0.0279393259615672,0.0131709383177746,0.1111111111111111,0.8888888888888888,-0.001277941908753532
11,2.1,0.3526791720297482,0.6473208279702517,-0.0289417970726062,0.0128695254301894,0.12222222222222223,0.8777777777777778,-0.001876457171565333
12,2.2,0.3537824934785484,0.6462175065214515,-0.0299044539061283,0.012628674685555,0.13333333333333336,0.8666666666666667,-0.0024188016030544587
13,2.3,0.354782318301756,0.645217681698244,-0.0308267594268829,0.012441169703705,0.14444444444444443,0.8555555555555556,-0.002909526501361056
14,2.4,0.3556876709043056,0.6443123290956944,-0.0317066547934153,0.0123010073990363,0.15555555555555556,0.8444444444444444,-0.0033519754681402766
15,2.5,0.3565081415187833,0.6434918584812167,-0.0325417577117213,0.0122027485099461,0.16666666666666666,0.8333333333333334,-0.0037490322463161804
16,2.6,0.3572531209569626,0.6427468790430374,-0.0333301672051134,0.0121412475368691,0.17777777777777778,0.8222222222222222,-0.0041035572940325855
17,2.7,0.3579310774173764,0.6420689225826236,-0.0340709268271921,0.0121115193721319,0.1888888888888889,0.8111111111111111,-0.004418613353762159
18,2.8,0.3585495675360384,0.6414504324639616,-0.0347642158369293,0.0121087200876398,0.19999999999999998,0.8,-0.004697550817258888
19,2.9,0.3591170466454172,0.6408829533545828,-0.0354113372431883,0.0121282191448428,0.2111111111111111,0.7888888888888889,-0.004944045944060204
20,3.0,0.3596402456711194,0.6403597543288806,-0.0360145536102187,0.0121656298470115,0.2222222222222222,0.7777777777777778,-0.005161903168026373
21,3.1,0.3601246889104247,0.6398753110895753,-0.0365768573955575,0.012216887960885,0.23333333333333334,0.7666666666666666,-0.005354944406378338
22,3.2,0.3605749656723099,0.63942503432769,-0.0371017197675823,0.0122783046045661,0.24444444444444446,0.7555555555555555,-0.005526895988319137
23,3.3,0.3609949435572739,0.639005056442726,-0.0375928530056765,0.0123465792204759,0.25555555555555554,0.7444444444444445,-0.005681303297286293
24,3.4,0.3613879079611688,0.6386120920388312,-0.0380540170823355,0.0124188354582796,0.26666666666666666,0.7333333333333334,-0.005821443130205857
25,3.5,0.3617566828601124,0.6382433171398876,-0.0384888671595797,0.0124926034201589,0.2777777777777778,0.7222222222222222,-0.005950284264097747
26,3.6,0.3621037177354951,0.6378962822645048,-0.03890084733853,0.0125658151433552,0.2888888888888889,0.711111111111111,-0.0060704546807733555
27,3.7,0.3624311536852224,0.6375688463147776,-0.0392931211626527,0.0126367636028392,0.30000000000000004,0.7,-0.0061842444434586814
28,3.8,0.3627408822021935,0.6372591177978065,-0.0396685343776423,0.0127040852584378,0.3111111111111111,0.6888888888888889,-0.006293604991593817
29,3.9,0.3630345844668737,0.6369654155331262,-0.0400295997244002,0.0127667200030829,0.3222222222222222,0.6777777777777778,-0.006400169990564133
30,4.0,0.3633137624672479,0.6366862375327521,-0.0403784979434184,0.0128238518327052,0.3333333333333333,0.6666666666666667,-0.006505294036556806
31,4.1,0.3635797641555989,0.6364202358444011,-0.0407170929044701,0.012874918469093,0.3444444444444444,0.6555555555555557,-0.006610052386731244
32,4.2,0.3638338025829915,0.6361661974170084,-0.0410469509672375,0.0129195309245781,0.35555555555555557,0.6444444444444444,-0.006715299394147322
33,4.3,0.3640769764286126,0.6359230235713873,-0.0413693664678476,0.0129574615357288,0.36666666666666664,0.6333333333333333,-0.006821685742770577
34,4.4,0.3643102778452821,0.6356897221547179,-0.0416853899349107,0.0129886258391775,0.3777777777777778,0.6222222222222222,-0.006929680038397909
35,4.5,0.3645346062886215,0.6354653937113786,-0.04199585528579,0.0130130395533555,0.3888888888888889,0.6111111111111112,-0.007039606269204588
36,4.6,0.3647507714922866,0.6352492285077135,-0.0423014077821339,0.0130308010400576,0.39999999999999997,0.6000000000000001,-0.007151664816209054
37,4.7,0.3649595102059343,0.6350404897940657,-0.0426025300177751,0.0130420912710565,0.41111111111111115,0.5888888888888888,-0.007265942460110185
38,4.8,0.3651614856469721,0.6348385143530278,-0.0428995665461675,0.0130471225192049,0.4222222222222222,0.5777777777777777,-0.0073824535769356926
39,4.9,0.3653572928285863,0.6346427071714137,-0.0431927464414162,0.0130461612077039,0.43333333333333335,0.5666666666666667,-0.007501133842615497
40,5.0,0.3655474750582814,0.6344525249417186,-0.0434822034798399,0.0130394896612493,0.4444444444444444,0.5555555555555556,-0.007621872552494838
41,5.1,0.3657325097926683,0.6342674902073318,-0.0437679947451152,0.0130274252937299,0.4555555555555555,0.5444444444444445,-0.007744506221805725
42,5.2,0.3659128313008316,0.6340871686991684,-0.0440501164353867,0.0130102785598724,0.4666666666666667,0.5333333333333333,-0.007868852127986659
43,5.3,0.3660888273004735,0.6339111726995265,-0.0443285180086933,0.0129883777583383,0.47777777777777775,0.5222222222222223,-0.00799469739751777
44,5.4,0.3662608413550387,0.6337391586449612,-0.0446031143485842,0.0129620490058612,0.48888888888888893,0.5111111111111111,-0.008121816157078217
45,5.5,0.3664291825215396,0.6335708174784604,-0.0448737960929403,0.0129316131235812,0.5,0.5,-0.008249975720951845
46,5.6,0.3665941185608887,0.6334058814391114,-0.0451404383450403,0.0128973852689956,0.5111111111111111,0.48888888888888893,-0.008378939521984223
47,5.7,0.3667558927537877,0.6332441072462123,-0.0454029081256043,0.0128596780339964,0.5222222222222223,0.47777777777777775,-0.008508468767112429
48,5.8,0.3669147167704405,0.6330852832295595,-0.0456610700179674,0.0128187874487927,0.5333333333333333,0.4666666666666667,-0.008638332890399314
49,5.9,0.3670707773663722,0.6329292226336278,-0.0459147910699677,0.012774997226518,0.5444444444444445,0.4555555555555555,-0.008768308986940821
50,6.0,0.3672242369390943,0.6327757630609057,-0.0461639450082675,0.0127285900216339,0.5555555555555556,0.4444444444444444,-0.008898176216130522
51,6.1,0.3673752413649008,0.6326247586350993,-0.0464084144583852,0.0126798252992412,0.5666666666666667,0.43333333333333335,-0.009027731043543924
52,6.2,0.3675239145897369,0.6324760854102631,-0.0466480934946522,0.0126289523686773,0.5777777777777778,0.42222222222222217,-0.00915677957232893
