p,series_name,Rel_div_p,Nonrel_div_p,Rel_div_n,Nonrel_div_n,Rel-Rel,Rel-Nonrel,Nonrel-Rel,Nonrel-Nonrel
999,15-01-2025-extreme-util-principles.csv,-0.029503275145340176,0.012803374253389753,0.029503275160905326,-0.012803374232152083,-7.107974015084862e-22,0.3532802118347226,0.6467197881604291,-5.792498934430178e-22
998,13-01-2025-against-principles.csv,-0.03490945474633784,0.012368240113756696,0.03490945474718952,-0.012368239965433774,3.1026197671718934e-22,0.3597537256753206,0.6402462743247885,3.1060963605687182e-22
997,15-01-2025-50-pc-support-principles.csv,-0.03395484916568189,0.012298665981576007,0.033954849161338896,-0.01229866598871154,-4.799693550197639e-22,0.35917869144604303,0.6408213085664117,8.558171255167478e-22
996,15-01-2025-general-opposition-principles.csv,-0.035588268157042094,0.012346841111015727,0.03558826816037284,-0.012346841111159286,6.458352853202326e-22,0.3602877291272144,0.6397122708778084,6.458352853221148e-22
995,15-01-2025-general-support-principles.csv,-0.033310358431762825,0.012654430405400902,0.03331035844383151,-0.01265443040584862,-6.0998661783325006e-21,0.35807341564702,0.6419265831147483,2.2350283853260683e-21
994,15-01-2025-bottom-quartile-principles.csv,-0.03433476445147935,0.012376310158421314,0.03433476448460591,-0.012376310167721647,1.5839207948680019e-21,0.3583341609117383,0.6416658390237521,1.5839207948669738e-21
993,12-01-2025-principles.csv,-0.033024483765913396,0.012740177808470338,0.03302448376696586,-0.012740177848094248,8.172141692510011e-21,0.3574913120483569,0.6425086876734573,1.7592883614869616e-21
992,15-01-2025-extreme-egal-principles.csv,-0.04548170069659987,0.011902948516763715,0.04548170072964957,-0.01190294851433763,-2.0384339589788134e-20,0.3673809578546255,0.6326190421364768,-2.0384339589788056e-20
991,15-01-2025-50-pc-opposition-principles.csv,-0.03340195030494586,0.01267696206097932,0.03340195030870557,-0.012676962056881822,7.712809265236458e-22,0.3582821257507157,0.641717874221033,-1.2431435203829751e-21
990,15-01-2025-top-quartile-principles.csv,-0.032676488229575994,0.012546517879361807,0.032676488224660204,-0.012546517876943756,1.44697697098452e-21,0.35787289126239563,0.6421271087124666,1.4539980140852483e-21
989,16-01-2025-ESS-principles.csv,-0.0504204318409897,0.01138111611853106,0.050420431824111704,-0.011381116109141434,-6.014108488107696e-18,0.37021256674831526,0.6297874332005832,-6.014108488107695e-18
