0,0,[ 0.0937  0.0432 -0.0237  0.0877 -0.0937 -0.0432  0.0237 -0.0877]
0,1,"[0.023627721154118562, 0.13450926648863612, 0.2315169999384076, 0.08416394307472641, -0.023627721154118562, -0.13450926648863612, -0.2315169999384076, -0.08416394307472641]"
0,2,"[0.024522273868350004, 0.11439662748957448, 0.1893469508167693, 0.08598452045805138, -0.024522273868350004, -0.11439662748957448, -0.1893469508167693, -0.08598452045805138]"
0,3,[ 0.0882  0.0534 -0.0152  0.0876 -0.0882 -0.0534  0.0152 -0.0876]
1,0,[ 0.2228 -0.3052 -0.3735 -0.0227 -0.2228  0.3052  0.3735  0.0227]
1,1,"[0.1276616239573132, 0.03909331847688102, -0.4055487534844115, -0.051101047404933056, -0.1276616239573132, -0.03909331847688102, 0.4055487534844115, 0.051101047404933056]"
1,2,"[0.1880169463728572, -0.1275460699668683, -0.38590259258930787, -0.03201514113114975, -0.1880169463728572, 0.1275460699668683, 0.38590259258930787, 0.03201514113114975]"
1,3,[ 0.2107 -0.2726 -0.379  -0.0271 -0.2107  0.2726  0.379   0.0271]
2,0,[-0.0651 -0.0768  0.2034  0.2032  0.0651  0.0768 -0.2034 -0.2032]
2,1,"[-0.14440046430859538, -0.06303681579388214, 0.18288153137717358, 0.1444143756306486, 0.14440046430859538, 0.06303681579388214, -0.18288153137717358, -0.1444143756306486]"
2,2,"[-0.07869124032049875, -0.07198215107774808, 0.20061017042060736, 0.19139296821059837, 0.07869124032049875, 0.07198215107774808, -0.20061017042060736, -0.19139296821059837]"
2,3,[-0.0708 -0.0745  0.2021  0.1972  0.0708  0.0745 -0.2021 -0.1972]
3,0,[-0.2099 -0.3603  0.0105 -0.292   0.2099  0.3603 -0.0105  0.292 ]
3,1,"[-0.2534978480676913, -0.3134904508688114, 0.06827806654403801, -0.14670681673210448, 0.2534978480676913, 0.3134904508688114, -0.06827806654403801, 0.14670681673210448]"
3,2,"[-0.24749324688062443, -0.32536328762626443, 0.053556538322155144, -0.18920297894043683, 0.24749324688062443, 0.32536328762626443, -0.053556538322155144, 0.18920297894043683]"
3,3,[-0.2187 -0.3487  0.0203 -0.2591  0.2187  0.3487 -0.0203  0.2591]
4,0,[ 0.5363 -0.287  -0.1867  0.0502 -0.5363  0.287   0.1867 -0.0502]
4,1,"[-0.03813727550890167, -0.39952204034371297, -0.3140697754024343, 0.3231085100086609, 0.03813727550890167, 0.39952204034371297, 0.3140697754024343, -0.3231085100086609]"
4,2,"[0.18882974479962442, -0.3360450084192446, -0.22471524856088856, 0.21857539553619945, -0.18882974479962442, 0.3360450084192446, 0.22471524856088856, -0.21857539553619945]"
4,3,[ 0.3407 -0.3202 -0.21    0.1514 -0.3407  0.3202  0.21   -0.1514]
5,0,[-0.2246 -0.0683  0.3171  0.1034  0.2246  0.0683 -0.3171 -0.1034]
5,1,"[-0.22472941764989965, 0.057436248950959334, 0.4275039855117096, 0.13657340922605912, 0.22472941764989965, -0.057436248950959334, -0.4275039855117096, -0.13657340922605912]"
5,2,"[-0.2246637099513674, 0.011468352024259007, 0.38470393983580065, 0.12835940034294363, 0.2246637099513674, -0.011468352024259007, -0.38470393983580065, -0.12835940034294363]"
5,3,[-0.2246 -0.0544  0.3285  0.1074  0.2246  0.0544 -0.3285 -0.1074]
6,0,[-0.2084 -0.1238 -0.1035  0.1727  0.2084  0.1238  0.1035 -0.1727]
6,1,"[0.06775648732145803, 0.06027018603916748, -0.03598063849732695, 0.173649391039412, -0.06775648732145803, -0.06027018603916748, 0.03598063849732695, -0.173649391039412]"
6,2,"[0.0054869255245593015, -0.0005203179285774197, -0.051026260933880505, 0.17315225003467713, -0.0054869255245593015, 0.0005203179285774197, 0.051026260933880505, -0.17315225003467713]"
6,3,"[-0.06245707171940178, -0.04869962164484143, -0.07251000751743013, 0.17297036200137436, 0.06245707171940178, 0.04869962164484143, 0.07251000751743013, -0.17297036200137436]"
7,0,[-0.0064  0.2993  0.3111  0.0344  0.0064 -0.2993 -0.3111 -0.0344]
7,1,"[0.08109614635659493, 3.4522265124668585e-6, 0.3509015258531231, 0.22514470502028253, -0.08109614635659493, -3.4522265124668585e-6, -0.3509015258531231, -0.22514470502028253]"
7,2,"[0.0528007535668991, 0.0642468501450257, 0.32544738590366146, 0.1630915206696655, -0.0528007535668991, -0.0642468501450257, -0.32544738590366146, -0.1630915206696655]"
7,3,[ 0.018   0.2287  0.318   0.0853 -0.018  -0.2287 -0.318  -0.0853]
8,0,[ 0.1428  0.0339  0.209   0.1443 -0.1428 -0.0339 -0.209  -0.1443]
8,1,"[-0.28364271827160586, 0.360359838224662, 0.0725779803524293, 0.08269665263493574, 0.28364271827160586, -0.360359838224662, -0.0725779803524293, -0.08269665263493574]"
8,2,"[-0.17724105242840835, 0.2778365176285134, 0.11780904361600203, 0.10019032786563109, 0.17724105242840835, -0.2778365176285134, -0.11780904361600203, -0.10019032786563109]"
8,3,[ 0.0158  0.1326  0.1703  0.1268 -0.0158 -0.1326 -0.1703 -0.1268]
9,0,[ 0.4818  0.1763  0.2604  0.3972 -0.4818 -0.1763 -0.2604 -0.3972]
9,1,"[0.2974547430922706, -0.023865507812899468, 0.28933236693385456, 0.5225289010768309, -0.2974547430922706, 0.023865507812899468, -0.28933236693385456, -0.5225289010768309]"
9,2,"[0.32652070655030196, -0.006589117102055073, 0.277400844586587, 0.511527866041721, -0.32652070655030196, 0.006589117102055073, -0.277400844586587, -0.511527866041721]"
9,3,[ 0.4345  0.1299  0.2656  0.4345 -0.4345 -0.1299 -0.2656 -0.4345]
10,0,[-0.0612 -0.4089  0.0845  0.1025  0.0612  0.4089 -0.0845 -0.1025]
10,1,"[-0.15747609879795424, -0.3783192716549126, -0.09274546101971377, 0.06809596442067019, 0.15747609879795424, 0.3783192716549126, 0.09274546101971377, -0.06809596442067019]"
10,2,"[-0.10685663274926505, -0.4013644541098995, -0.026080769714254288, 0.08209461546823632, 0.10685663274926505, 0.4013644541098995, 0.026080769714254288, -0.08209461546823632]"
10,3,[-0.0865 -0.4054  0.0571  0.0935  0.0865  0.4054 -0.0571 -0.0935]
11,0,[-0.4857 -0.138   0.0165  0.1831  0.4857  0.138  -0.0165 -0.1831]
11,1,"[-0.0370258854414046, -0.1363064086812859, 0.0770693959309782, 0.42559487656253864, 0.0370258854414046, 0.1363064086812859, -0.0770693959309782, -0.42559487656253864]"
11,2,"[-0.2601538755176616, -0.13776685791351104, 0.04678138150810482, 0.27883885089875343, 0.2601538755176616, 0.13776685791351104, -0.04678138150810482, -0.27883885089875343]"
11,3,[-0.3824 -0.1379  0.022   0.2391  0.3824  0.1379 -0.022  -0.2391]
12,0,[-0.0299  0.1852 -0.0588 -0.3368  0.0299 -0.1852  0.0588  0.3368]
12,1,"[-0.17540190274115347, 0.2572223534346292, -0.23397885076036373, -0.32628575676328303, 0.17540190274115347, -0.2572223534346292, 0.23397885076036373, 0.32628575676328303]"
12,2,"[-0.09617590493224938, 0.236637115963245, -0.17392523725589495, -0.33250878742817175, 0.09617590493224938, -0.236637115963245, 0.17392523725589495, 0.33250878742817175]"
12,3,[-0.059   0.2027 -0.0948 -0.3351  0.059  -0.2027  0.0948  0.3351]
13,0,[-0.0437 -0.1335  0.4407  0.0613  0.0437  0.1335 -0.4407 -0.0613]
13,1,"[0.1297461990247738, -0.13727342166676065, 0.412834282556664, 0.1063615310557598, -0.1297461990247738, 0.13727342166676065, -0.412834282556664, -0.1063615310557598]"
13,2,"[0.009926772313534867, -0.13583419020496687, 0.4213543484283785, 0.07823133100942166, -0.009926772313534867, 0.13583419020496687, -0.4213543484283785, -0.07823133100942166]"
13,3,[-0.0187 -0.1345  0.4349  0.0705  0.0187  0.1345 -0.4349 -0.0705]
14,0,[ 0.2882  0.304  -0.0909  0.3498 -0.2882 -0.304   0.0909 -0.3498]
14,1,"[0.2536009324662454, 0.2520259325554228, 0.11259144687024786, 0.06766869173729044, -0.2536009324662454, -0.2520259325554228, -0.11259144687024786, -0.06766869173729044]"
14,2,"[0.2821285570106426, 0.29024971351974677, -0.017038782710878164, 0.2612761487829509, -0.2821285570106426, -0.29024971351974677, 0.017038782710878164, -0.2612761487829509]"
14,3,[ 0.2842  0.2934 -0.0388  0.2919 -0.2842 -0.2934  0.0388 -0.2919]
15,0,[-0.3769  0.1518 -0.0704 -0.0586  0.3769 -0.1518  0.0704  0.0586]
15,1,"[-0.274442826444679, -0.10801535496456174, 0.3412875471509782, 0.03608881388230455, 0.274442826444679, 0.10801535496456174, -0.3412875471509782, -0.03608881388230455]"
15,2,"[-0.3267434798877883, -0.06648164076528885, 0.2731600314971738, -0.007295248877731558, 0.3267434798877883, 0.06648164076528885, -0.2731600314971738, 0.007295248877731558]"
15,3,[-0.3614  0.0727  0.056  -0.0404  0.3614 -0.0727 -0.056   0.0404]
16,0,[-0.3783  0.2831 -0.3081  0.2895  0.3783 -0.2831  0.3081 -0.2895]
16,1,"[-0.037198218383793905, 0.1117578250073252, -0.31624402994223655, 0.13529006965804294, 0.037198218383793905, -0.1117578250073252, 0.31624402994223655, -0.13529006965804294]"
16,2,"[-0.23287802403874475, 0.19723660600836812, -0.31104203673213804, 0.21566197640470663, 0.23287802403874475, -0.19723660600836812, 0.31104203673213804, -0.21566197640470663]"
16,3,[-0.3575  0.278  -0.3091  0.2743  0.3575 -0.278   0.3091 -0.2743]
17,0,[ 0.2091 -0.0531  0.1879 -0.0494 -0.2091  0.0531 -0.1879  0.0494]
17,1,"[0.13260362232110243, -0.14195725136004306, 0.16741231070866627, -0.05611254894360441, -0.13260362232110243, 0.14195725136004306, -0.16741231070866627, 0.05611254894360441]"
17,2,"[0.16790410114529924, -0.13327864756875946, 0.17887847122200246, -0.053680967286765593, -0.16790410114529924, 0.13327864756875946, -0.17887847122200246, 0.053680967286765593]"
17,3,[ 0.1897 -0.0747  0.1846 -0.0514 -0.1897  0.0747 -0.1846  0.0514]
18,0,[-0.3817 -0.09   -0.4631  0.1946  0.3817  0.09    0.4631 -0.1946]
18,1,"[-0.571198160809704, -0.054998110063224165, -0.3588422645113997, 7.351931726507256e-6, 0.571198160809704, 0.054998110063224165, 0.3588422645113997, -7.351931726507256e-6]"
18,2,"[-0.4642464122606804, -0.07306842761701553, -0.4159080570951281, 0.11034129595145187, 0.4642464122606804, 0.07306842761701553, 0.4159080570951281, -0.11034129595145187]"
18,3,[-0.4547 -0.0753 -0.4215  0.1212  0.4547  0.0753  0.4215 -0.1212]
19,0,[-0.0703  0.0437 -0.1339  0.2491  0.0703 -0.0437  0.1339 -0.2491]
19,1,"[0.14038416436767379, 0.20862428600870972, -0.17397071248972876, 0.5316999997394309, -0.14038416436767379, -0.20862428600870972, 0.17397071248972876, -0.5316999997394309]"
19,2,"[0.047967596894749234, 0.13319130428213308, -0.15799650713442562, 0.4162275153966452, -0.047967596894749234, -0.13319130428213308, 0.15799650713442562, -0.4162275153966452]"
19,3,[-0.0124  0.0916 -0.1463  0.3383  0.0124 -0.0916  0.1463 -0.3383]
20,0,[ 0.0002 -0.1831 -0.0867 -0.1104 -0.0002  0.1831  0.0867  0.1104]
20,1,"[0.01904312250900948, 0.041643945209273635, -0.2509686766419559, 0.11268453750878503, -0.01904312250900948, -0.041643945209273635, 0.2509686766419559, -0.11268453750878503]"
20,2,"[0.008337201503026434, -0.01271736205585038, -0.1620137629668571, 0.07753849662652301, -0.008337201503026434, 0.01271736205585038, 0.1620137629668571, -0.07753849662652301]"
20,3,[ 0.003  -0.1503 -0.1056 -0.094  -0.003   0.1503  0.1056  0.094 ]
