"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","smdfslv"
"ESS8e02_3",8,"2.3","23.11.2023",1,"AT",0.61167705,1.1784955,0.3703929,0.43650636,1
"ESS8e02_3",8,"2.3","23.11.2023",2,"AT",1.2233541,0.8994715,0.3703929,0.33315787,2
"ESS8e02_3",8,"2.3","23.11.2023",4,"AT",0.38905773,0.31575334,0.3703929,0.11695279,3
"ESS8e02_3",8,"2.3","23.11.2023",6,"AT",0.642594,0.4724674,0.3703929,0.17499857,3
"ESS8e02_3",8,"2.3","23.11.2023",10,"AT",3.4324021,2.2467055,0.3703929,0.83216375,2
"ESS8e02_3",8,"2.3","23.11.2023",11,"AT",1.1805793,1.011379,0.3703929,0.3746076,3
"ESS8e02_3",8,"2.3","23.11.2023",12,"AT",1.2734222,1.8380297,0.3703929,0.68079317,1
"ESS8e02_3",8,"2.3","23.11.2023",13,"AT",2.1640499,1.2028018,0.3703929,0.44550925,2
"ESS8e02_3",8,"2.3","23.11.2023",14,"AT",0.4131185,0.32083097,0.3703929,0.11883351,1
"ESS8e02_3",8,"2.3","23.11.2023",15,"AT",1.7849587,0.99757445,0.3703929,0.36949447,3
"ESS8e02_3",8,"2.3","23.11.2023",16,"AT",0.41295302,0.5500596,0.3703929,0.20373817,2
"ESS8e02_3",8,"2.3","23.11.2023",17,"AT",1.0553485,0.6911919,0.3703929,0.25601256,4
"ESS8e02_3",8,"2.3","23.11.2023",18,"AT",0.4739466,0.41117626,0.3703929,0.15229677,2
"ESS8e02_3",8,"2.3","23.11.2023",19,"AT",0.8666936,0.6730806,0.3703929,0.24930428,1
"ESS8e02_3",8,"2.3","23.11.2023",21,"AT",0.767498,1.2803395,0.3703929,0.47422865,3
"ESS8e02_3",8,"2.3","23.11.2023",22,"AT",0.62280774,0.6477802,0.3703929,0.23993318,3
"ESS8e02_3",8,"2.3","23.11.2023",23,"AT",1.7364239,2.9338708,0.3703929,1.0866848,1
"ESS8e02_3",8,"2.3","23.11.2023",24,"AT",0.5087625,0.37406778,0.3703929,0.13855204,4
"ESS8e02_3",8,"2.3","23.11.2023",28,"AT",0.87705755,0.69678885,0.3703929,0.25808564,2
"ESS8e02_3",8,"2.3","23.11.2023",29,"AT",1.017525,0.6998673,0.3703929,0.25922588,2
"ESS8e02_3",8,"2.3","23.11.2023",30,"AT",0.50551033,0.505511,0.3703929,0.18723768,3
"ESS8e02_3",8,"2.3","23.11.2023",32,"AT",1.6518118,2.9315739,0.3703929,1.0858341,2
"ESS8e02_3",8,"2.3","23.11.2023",34,"AT",1.0742333,0.69475245,0.3703929,0.25733137,2
"ESS8e02_3",8,"2.3","23.11.2023",39,"AT",1.7662833,1.5323528,0.3703929,0.5675726,2
"ESS8e02_3",8,"2.3","23.11.2023",42,"AT",1.1410472,1.9175367,0.3703929,0.710242,2
"ESS8e02_3",8,"2.3","23.11.2023",43,"AT",0.6480055,0.36016834,0.3703929,0.1334038,2
"ESS8e02_3",8,"2.3","23.11.2023",45,"AT",1.44096,0.741353,0.3703929,0.27459186,4
"ESS8e02_3",8,"2.3","23.11.2023",48,"AT",0.53482395,0.40534794,0.3703929,0.15013799,1
"ESS8e02_3",8,"2.3","23.11.2023",49,"AT",1.2153455,1.8586552,0.3703929,0.6884327,4
"ESS8e02_3",8,"2.3","23.11.2023",50,"AT",0.89775264,0.4826832,0.3703929,0.17878243,2
"ESS8e02_3",8,"2.3","23.11.2023",52,"AT",1.3845699,0.7088468,0.3703929,0.2625518,3
"ESS8e02_3",8,"2.3","23.11.2023",53,"AT",0.37437674,0.24167314,0.3703929,0.08951401,1
"ESS8e02_3",8,"2.3","23.11.2023",54,"AT",0.8669471,0.7376362,0.3703929,0.2732152,2
"ESS8e02_3",8,"2.3","23.11.2023",56,"AT",1.1259264,0.7744271,0.3703929,0.2868423,2
"ESS8e02_3",8,"2.3","23.11.2023",57,"AT",1.3907148,0.74772775,0.3703929,0.27695304,2
"ESS8e02_3",8,"2.3","23.11.2023",58,"AT",2.6845434,2.353373,0.3703929,0.87167263,2
"ESS8e02_3",8,"2.3","23.11.2023",60,"AT",1.9440165,1.2662293,0.3703929,0.4690023,2
"ESS8e02_3",8,"2.3","23.11.2023",61,"AT",2.908315,3.9999995,0.3703929,1.4815714,2
"ESS8e02_3",8,"2.3","23.11.2023",62,"AT",1.8502984,1.1944321,0.3703929,0.44240916,2
"ESS8e02_3",8,"2.3","23.11.2023",63,"AT",1.1397051,2.224231,0.3703929,0.82383937,1
"ESS8e02_3",8,"2.3","23.11.2023",64,"AT",1.3886967,2.1523912,0.3703929,0.79723036,3
"ESS8e02_3",8,"2.3","23.11.2023",65,"AT",0.6367112,0.6494825,0.3703929,0.24056369,2
"ESS8e02_3",8,"2.3","23.11.2023",66,"AT",0.74875355,0.56642747,0.3703929,0.2098007,2
"ESS8e02_3",8,"2.3","23.11.2023",67,"AT",1.1693654,0.813686,0.3703929,0.30138353,3
"ESS8e02_3",8,"2.3","23.11.2023",68,"AT",0.88929296,0.49427855,0.3703929,0.18307726,1
"ESS8e02_3",8,"2.3","23.11.2023",71,"AT",0.889293,0.60831046,0.3703929,0.22531387,1
"ESS8e02_3",8,"2.3","23.11.2023",72,"AT",0.8666936,1.379814,0.3703929,0.5110733,2
"ESS8e02_3",8,"2.3","23.11.2023",74,"AT",1.1784298,0.81053954,0.3703929,0.30021808,2
"ESS8e02_3",8,"2.3","23.11.2023",75,"AT",0.56233686,1.6537665,0.3703929,0.61254334,2
"ESS8e02_3",8,"2.3","23.11.2023",76,"AT",0.6228077,0.4836771,0.3703929,0.17915055,2
"ESS8e02_3",8,"2.3","23.11.2023",79,"AT",0.8263533,0.6386044,0.3703929,0.23653454,2
"ESS8e02_3",8,"2.3","23.11.2023",80,"AT",1.3148706,1.0211384,0.3703929,0.3782224,3
"ESS8e02_3",8,"2.3","23.11.2023",81,"AT",0.8263533,1.1380687,0.3703929,0.42153254,2
"ESS8e02_3",8,"2.3","23.11.2023",82,"AT",1.6397687,2.8028748,0.3703929,1.0381649,3
"ESS8e02_3",8,"2.3","23.11.2023",83,"AT",1.1001256,2.0775049,0.3703929,0.76949304,4
"ESS8e02_3",8,"2.3","23.11.2023",84,"AT",1.2456154,1.2955604,0.3703929,0.47986636,2
"ESS8e02_3",8,"2.3","23.11.2023",86,"AT",1.0553485,1.4712623,0.3703929,0.5449451,1
"ESS8e02_3",8,"2.3","23.11.2023",89,"AT",0.4333468,0.863941,0.3703929,0.3199976,2
"ESS8e02_3",8,"2.3","23.11.2023",90,"AT",0.9068252,0.687291,0.3703929,0.2545677,2
"ESS8e02_3",8,"2.3","23.11.2023",93,"AT",1.1899725,2.292676,0.3703929,0.8491909,3
"ESS8e02_3",8,"2.3","23.11.2023",94,"AT",0.6228077,1.3877696,0.3703929,0.51401997,5
"ESS8e02_3",8,"2.3","23.11.2023",97,"AT",1.296011,0.94766235,0.3703929,0.3510074,2
"ESS8e02_3",8,"2.3","23.11.2023",101,"AT",0.4033883,0.31327438,0.3703929,0.116034605,2
"ESS8e02_3",8,"2.3","23.11.2023",102,"AT",1.2456154,0.9673542,0.3703929,0.3583011,2
"ESS8e02_3",8,"2.3","23.11.2023",104,"AT",0.767498,0.6260783,0.3703929,0.23189496,3
"ESS8e02_3",8,"2.3","23.11.2023",106,"AT",0.893642,1.4122977,0.3703929,0.523105,2
"ESS8e02_3",8,"2.3","23.11.2023",110,"AT",1.7572243,0.9935286,0.3703929,0.36799592,3
"ESS8e02_3",8,"2.3","23.11.2023",111,"AT",1.5563504,2.088375,0.3703929,0.7735193,2
"ESS8e02_3",8,"2.3","23.11.2023",112,"AT",0.8259059,1.1450769,0.3703929,0.42412832,2
"ESS8e02_3",8,"2.3","23.11.2023",113,"AT",1.2294719,1.9797726,0.3703929,0.73329365,2
"ESS8e02_3",8,"2.3","23.11.2023",116,"AT",0.7781752,1.0365411,0.3703929,0.38392746,2
"ESS8e02_3",8,"2.3","23.11.2023",117,"AT",0.5426262,0.72677547,0.3703929,0.26919246,2
"ESS8e02_3",8,"2.3","23.11.2023",120,"AT",0.53247005,0.7423171,0.3703929,0.27494895,3
"ESS8e02_3",8,"2.3","23.11.2023",121,"AT",1.6518121,1.2078291,0.3703929,0.4473713,7
"ESS8e02_3",8,"2.3","23.11.2023",122,"AT",0.65743524,0.68379647,0.3703929,0.25327334,4
"ESS8e02_3",8,"2.3","23.11.2023",123,"AT",1.7970623,2.7801287,0.3703929,1.0297399,2
"ESS8e02_3",8,"2.3","23.11.2023",124,"AT",0.46953857,0.48836562,0.3703929,0.18088715,3
"ESS8e02_3",8,"2.3","23.11.2023",126,"AT",0.92304665,0.40325126,0.3703929,0.1493614,2
"ESS8e02_3",8,"2.3","23.11.2023",127,"AT",0.4076942,0.543055,0.3703929,0.20114371,3
"ESS8e02_3",8,"2.3","23.11.2023",128,"AT",1.6525187,1.6856651,0.3703929,0.62435836,4
"ESS8e02_3",8,"2.3","23.11.2023",132,"AT",1.0683297,0.78548974,0.3703929,0.2909398,1
"ESS8e02_3",8,"2.3","23.11.2023",133,"AT",0.446821,0.29465497,0.3703929,0.1091381,2
"ESS8e02_3",8,"2.3","23.11.2023",134,"AT",1.285188,1.7340361,0.3703929,0.6422746,4
"ESS8e02_3",8,"2.3","23.11.2023",135,"AT",0.44575372,0.3395063,0.3703929,0.12575072,3
"ESS8e02_3",8,"2.3","23.11.2023",140,"AT",0.6367111,0.9190149,0.3703929,0.34039658,1
"ESS8e02_3",8,"2.3","23.11.2023",144,"AT",0.5500628,0.7668429,0.3703929,0.28403315,3
"ESS8e02_3",8,"2.3","23.11.2023",147,"AT",0.4131185,0.42968336,0.3703929,0.15915166,1
"ESS8e02_3",8,"2.3","23.11.2023",152,"AT",1.1001256,0.75668097,0.3703929,0.28026924,3
"ESS8e02_3",8,"2.3","23.11.2023",155,"AT",0.53665406,0.3691178,0.3703929,0.1367186,1
"ESS8e02_3",8,"2.3","23.11.2023",157,"AT",1.3466289,0.7240248,0.3703929,0.26817364,5
"ESS8e02_3",8,"2.3","23.11.2023",159,"AT",2.4996924,1.4366684,0.3703929,0.53213173,2
"ESS8e02_3",8,"2.3","23.11.2023",160,"AT",0.61473596,0.9510219,0.3703929,0.35225174,2
"ESS8e02_3",8,"2.3","23.11.2023",161,"AT",1.5830227,2.0920482,0.3703929,0.77487975,2
"ESS8e02_3",8,"2.3","23.11.2023",162,"AT",1.8781543,1.6294082,0.3703929,0.6035212,2
"ESS8e02_3",8,"2.3","23.11.2023",166,"AT",1.8460933,0.8065025,0.3703929,0.2987228,3
"ESS8e02_3",8,"2.3","23.11.2023",167,"AT",0.3890876,0.51827055,0.3703929,0.19196373,8
