,country,egal,util,rel,nonrel,a_div_rel,a_div_nonrel
0,0.0,0.061718514257877555,0.9382814857421224,0.006610558944404432,0.9933894410555956,0.8728248857128214,-0.11585970314313698
1,1.0,0.6607416944281422,0.33925830557185777,0.42317671074230634,0.5768232892576937,0.7232855364814219,0.7641422966476961
2,2.0,0.554179956020487,0.445820043979513,0.12218496663913025,0.8778150333608697,-0.39164093577535275,-0.24687980387843966
3,3.0,0.8234854278833459,0.1765145721166541,0.6447093417537236,0.35529065824627637,-0.3636619907492016,-0.3761500095652619
4,4.0,0.8033989674022305,0.1966010325977695,0.26216391511845993,0.7378360848815401,-0.7268791215156019,-0.7000958385347098
5,5.0,0.0027315729319690174,0.997268427068031,0.8534326920963571,0.14656730790364292,0.7442730119942185,-0.126122625452606
6,6.0,0.2549535443485095,0.7450464556514905,0.08302579574363023,0.9169742042563698,0.9460620010325269,-0.3549509718518802
7,7.0,0.586193062712294,0.413806937287706,0.5993206221782366,0.40067937782176344,0.010722887935680436,-0.7265646818693452
8,8.0,0.8081085195338129,0.1918914804661871,0.5208366873936504,0.4791633126063496,0.6275462078972924,-0.2729462513109788
9,9.0,0.03232761492463365,0.9676723850753663,0.9637929218104067,0.036207078189593345,0.9396256142630868,0.09469557514026627
10,10.0,0.6943631296998692,0.30563687030013076,0.35079198233147213,0.6492080176685279,-0.07604666964984363,0.47900366359449476
11,11.0,0.20568771998102986,0.7943122800189701,0.5617838697416512,0.4382161302583488,0.6543584440214643,-0.5225673358067815
12,12.0,0.7748446192087342,0.22515538079126585,0.7507740126206924,0.24922598737930757,-0.6920042070460315,0.8511913313654151
13,13.0,0.5093164186078927,0.4906835813921073,0.2884976170512402,0.7115023829487598,0.4660782691569567,-0.14908453992947646
14,14.0,0.07903349332747944,0.9209665066725206,0.3421794314405865,0.6578205685594135,-0.9511878207982656,0.6159354590793538
15,15.0,0.5004043089803368,0.49959569101966317,0.002790987564083358,0.9972090124359166,0.28112458594317125,-0.9677096929875209
16,16.0,0.2849868149106608,0.7150131850893392,0.43150439478642066,0.5684956052135793,-0.9109734015295579,-0.8246608225806655
17,17.0,0.003484810488066037,0.996515189511934,0.7448796150885899,0.2551203849114101,0.9423905442625382,-0.7316052712728585
18,18.0,0.15677277146685042,0.8432272285331496,0.971386693041703,0.028613306958297002,-0.6851856252969772,0.7673189270520693
19,19.0,0.5937925820637429,0.40620741793625714,0.762147275841079,0.237852724158921,0.8215281926990725,-0.9432035819358617
20,20.0,0.5220586357413328,0.4779413642586672,0.7350082536984872,0.2649917463015128,-0.7645081797261373,-0.16621012125538015
21,21.0,0.2447817912006116,0.7552182087993884,0.8980960715393052,0.10190392846069485,-0.40958478702955614,-0.21851285641843377
22,22.0,0.5784741302496527,0.42152586975034734,0.6018137194865609,0.3981862805134391,0.7450119655067748,-0.018442208085425627
23,23.0,0.0666022618382045,0.9333977381617955,0.271639471425845,0.728360528574155,-0.7023699373247323,0.05829656538083294
24,24.0,0.0998684357568621,0.9001315642431379,0.13914116137784616,0.8608588386221538,-0.2713390928872341,0.4271287080977104
25,25.0,0.6669628171282116,0.3330371828717884,0.1640188124304498,0.8359811875695502,0.9457273006167983,-0.940314410815871
26,26.0,0.06709013512309825,0.9329098648769018,0.39846418924540117,0.6015358107545988,-0.6154756086088577,-0.1536953913920729
27,27.0,0.09098312598077596,0.909016874019224,0.04033991712727458,0.9596600828727254,0.5569672872497828,-0.9592843429711602
28,28.0,0.42999178021375606,0.5700082197862439,0.3033649064551991,0.6966350935448009,0.5669977042096583,-0.23413895279772556
29,29.0,0.418945083519892,0.581054916480108,0.2150995911950646,0.7849004088049354,0.03421327388611206,-0.3007375784421331
30,30.0,0.7031438702511039,0.2968561297488961,0.4806421561644516,0.5193578438355484,-0.49079278354812406,0.9880355387787771
31,31.0,0.19746291263007298,0.802537087369927,0.5326758032374928,0.46732419676250725,-0.8063613278310566,-0.35834017893416403
32,32.0,0.005852714959060035,0.99414728504094,0.1874818149083104,0.8125181850916896,-0.6461928077584718,-0.9646468421309853
33,33.0,0.11711769676244377,0.8828823032375562,0.7717105946855245,0.2282894053144755,0.3517263092394316,0.9470506773835181
34,34.0,0.7343453381340607,0.26565466186593933,0.1660732910044127,0.8339267089955873,0.9747495572226799,0.37937725178999915
35,35.0,0.1007130258661807,0.8992869741338193,0.15419594617222632,0.8458040538277737,0.16263368171574144,-0.580390131652188
36,36.0,0.8574161976470187,0.1425838023529813,0.8422995391216159,0.15770046087838407,-0.056021882780370236,-0.014609830120877021
37,37.0,0.7254045822685153,0.27459541773148466,0.3449293828524497,0.6550706171475503,0.7643372497776906,-0.15883639995494092
